match_id,match_date,event_name,team_1,team_2,player_id,player_name,adr,dpr,kast,kpr,multi_kill,rating_3_0,rating_3_0_ct_rating,rating_3_0_t_rating,round_swing,firepower_combined_score,entrying_combined_score,trading_combined_score,opening_combined_score,clutching_combined_score,sniping_combined_score,utility_combined_score
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,19677,kyxsan,63.4,0.63,71.2,0.55,12.3,0.95,0.94,0.96,-0.59,11.0,82.0,31.0,41.0,56.0,0.0,83.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,3741,niko,75.1,0.62,74.8,0.68,15.6,1.1,1.11,1.1,0.54,57.0,61.0,66.0,41.0,41.0,0.0,70.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,21167,donk,94.5,0.66,77.8,0.9,25.1,1.41,1.38,1.46,3.72,100.0,82.0,72.0,96.0,35.0,1.0,30.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,19808,tn1r,72.0,0.65,72.6,0.66,15.0,1.04,1.04,1.03,-0.38,45.0,60.0,47.0,44.0,41.0,0.0,59.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,18317,magixx,69.2,0.62,74.0,0.59,12.5,1.02,1.05,0.98,0.09,22.0,72.0,19.0,33.0,52.0,3.0,94.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,16920,sh1ro,73.8,0.54,77.0,0.75,17.5,1.14,1.21,1.06,1.27,72.0,17.0,67.0,46.0,78.0,92.0,64.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,20423,zont1x,66.4,0.63,74.4,0.59,13.6,0.95,0.97,0.94,-1.08,21.0,65.0,27.0,31.0,49.0,0.0,73.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,24177,kyousuke,81.1,0.71,72.3,0.73,18.8,1.1,1.14,1.06,0.3,84.0,76.0,85.0,72.0,27.0,4.0,26.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,19230,m0nesy,81.0,0.59,76.7,0.81,20.4,1.28,1.39,1.17,3.78,92.0,28.0,38.0,88.0,61.0,95.0,64.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,12018,teses,69.3,0.63,73.0,0.62,15.0,1.04,1.09,0.99,0.15,35.0,57.0,35.0,25.0,56.0,0.0,53.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,3741,niko,75.3,0.66,71.6,0.68,17.3,1.08,0.99,1.17,0.66,64.0,50.0,73.0,45.0,48.0,0.0,74.0
2394156,2026-05-17,PGL Astana 2026,Spirit,Falcons,429,karrigan,59.3,0.71,64.7,0.52,11.2,0.84,0.89,0.78,-2.1,5.0,55.0,4.0,25.0,33.0,0.0,69.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,19230,m0nesy,80.4,0.58,77.0,0.8,20.3,1.26,1.34,1.19,2.94,91.0,29.0,55.0,88.0,44.0,93.0,69.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,3741,niko,75.7,0.62,73.9,0.68,15.7,1.1,1.1,1.11,0.48,59.0,59.0,68.0,36.0,35.0,0.0,71.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,24177,kyousuke,81.9,0.7,73.3,0.77,20.1,1.15,1.18,1.12,0.68,90.0,83.0,87.0,83.0,24.0,4.0,31.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,12018,teses,64.7,0.62,72.4,0.58,13.7,1.0,1.07,0.93,0.02,19.0,54.0,20.0,23.0,77.0,0.0,54.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,19677,kyxsan,63.1,0.63,70.5,0.54,11.8,0.94,0.93,0.95,-0.7,9.0,78.0,30.0,43.0,63.0,0.0,83.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,18317,magixx,66.5,0.62,73.6,0.59,11.8,0.99,0.99,0.99,-0.37,16.0,78.0,18.0,32.0,55.0,2.0,92.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,19808,tn1r,73.3,0.65,74.5,0.66,16.4,1.04,1.0,1.08,-0.32,53.0,59.0,47.0,34.0,38.0,0.0,67.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,21167,donk,94.9,0.68,77.2,0.89,24.0,1.37,1.38,1.37,2.96,100.0,80.0,65.0,93.0,21.0,0.0,23.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,16920,sh1ro,78.1,0.54,77.0,0.8,20.1,1.2,1.27,1.11,1.91,88.0,18.0,64.0,53.0,80.0,92.0,58.0
2393242,2026-04-18,IEM Rio 2026,Spirit,Falcons,20423,zont1x,66.6,0.62,74.3,0.6,13.7,0.97,1.0,0.94,-0.99,23.0,48.0,29.0,29.0,48.0,0.0,71.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,16920,sh1ro,79.1,0.56,77.7,0.81,20.0,1.2,1.29,1.1,1.98,89.0,24.0,69.0,47.0,87.0,92.0,57.0
2393226,2026-04-14,IEM Rio 2026,Spirit,Falcons,18317,magixx,65.6,0.62,73.8,0.57,11.3,0.96,0.97,0.95,-0.86,12.0,82.0,18.0,25.0,47.0,3.0,89.0
